Dataset,Model,Variant,Label Fraction (%),n,mean,std,median,min,max,collapsed,collapse_rate,bimodal
ISIC2018,SimSiam,e50,5,5,0.629086685180664,0.08973133062073031,0.6007146239280701,0.5653160810470581,0.7873845100402832,0,0.0,False
ISIC2018,SimSiam,frozen,1,5,0.5620113849639893,0.013949759899872322,0.5623061060905457,0.5392686724662781,0.5750375986099243,0,0.0,False
ISIC2018,SimSiam,frozen,5,5,0.5893665432929993,0.016507326197353317,0.5945989489555359,0.5717995762825012,0.6053340435028076,0,0.0,False
ISIC2018,SimSiam,frozen,10,5,0.6437421798706054,0.07165684872446233,0.5998178124427795,0.5830296277999878,0.7301369309425354,0,0.0,False
ISIC2018,SimSiam,nostopgrad,5,5,0.6257294416427612,0.09461194229647363,0.5964796543121338,0.5594824552536011,0.7915958166122437,0,0.0,False
ISIC2018,SimSiam,pred128,5,5,0.5672389388084411,0.024226110528327426,0.5768803358078003,0.5243935585021973,0.5825619101524353,0,0.0,False
ISIC2018,SimSiam,pred32,5,5,0.5832562327384949,0.02233114689796754,0.5862603783607483,0.5579444766044617,0.6161898374557495,0,0.0,False
ISIC2018,SimSiam,proj2048,5,5,0.64344801902771,0.09157799796507232,0.5944405198097229,0.5918933153152466,0.8042833209037781,0,0.0,False
ISIC2018,SimSiam,proj256,5,5,0.5922822713851928,0.03389258538755027,0.5778078436851501,0.571168839931488,0.6524954438209534,0,0.0,False
ISIC2018,SimSiam,proj512,5,5,0.6378654718399048,0.09931347672033271,0.6079984903335571,0.5677487850189209,0.8111955523490906,0,0.0,False
ISIC2018,SimSiam,sslbudget20,20,5,0.8333992719650268,0.006793667343336275,0.8346830606460571,0.8232729434967041,0.8407237529754639,0,0.0,False
ISIC2018,SimSiam,sslbudget5,5,5,0.6233624815940857,0.08853105383312666,0.5962406396865845,0.5477361679077148,0.7759186029434204,0,0.0,False
KDSB,BT-UNet,aug025,5,5,0.5215623021125794,0.05319087812662144,0.5252285599708557,0.4706842303276062,0.6044536232948303,0,0.0,False
KDSB,BT-UNet,aug100,5,5,0.5986722826957702,0.02539740285782854,0.5909633040428162,0.5749912261962891,0.6262859106063843,0,0.0,False
KDSB,BT-UNet,base,1,5,0.5126806139945984,0.040015223140797244,0.5192780494689941,0.4533564448356628,0.5601168870925903,0,0.0,False
KDSB,BT-UNet,base,5,5,0.5336760342121124,0.08058557820485608,0.5323232412338257,0.4301787316799164,0.6551334261894226,0,0.0,False
KDSB,BT-UNet,base,10,5,0.5613223910331726,0.05372631259635687,0.5625706315040588,0.4861176609992981,0.6291684508323669,0,0.0,False
KDSB,BT-UNet,base,20,5,0.5823902606964111,0.04783258422735427,0.5941751003265381,0.5107093453407288,0.6355111002922058,0,0.0,False
KDSB,BT-UNet,base,50,5,0.7362051129341125,0.15035583851247145,0.831824779510498,0.5553646087646484,0.8570514917373657,0,0.0,False
KDSB,BT-UNet,bs32,5,5,0.5705000638961792,0.03597133153893073,0.5752978920936584,0.5191298723220825,0.6099833846092224,0,0.0,False
KDSB,BT-UNet,bs64,5,5,0.6064355850219727,0.09330218239967959,0.5998343229293823,0.4821594953536987,0.6985678672790527,0,0.0,False
