Dataset,Model,Variant,Label Fraction (%),Kind,Filter,Folds Combined,Folds Total,Excluded Folds,Test Dice @0.5,Best Threshold,Test Dice @best,Dice @0.05,Dice @0.10,Dice @0.15,Dice @0.20,Dice @0.25,Dice @0.30,Dice @0.35,Dice @0.40,Dice @0.45,Dice @0.50,Dice @0.55,Dice @0.60,Dice @0.65,Dice @0.70,Dice @0.75,Dice @0.80,Dice @0.85,Dice @0.90,Dice @0.95
ISIC2018,BT-UNet,outbn0,5,ensemble,filtered,5,5,,0.771661639213562,0.5,0.771661639213562,0.5185192823410034,0.5635961294174194,0.5956772565841675,0.6331802010536194,0.671188235282898,0.6970511674880981,0.7190713286399841,0.7456110715866089,0.7705668210983276,0.771661639213562,0.7700253129005432,0.7665111422538757,0.7614524364471436,0.7539936304092407,0.7432956099510193,0.7286087274551392,0.7086176872253418,0.6790468692779541,0.6245712637901306
ISIC2018,BT-UNet,outbn0,5,ensemble,unfiltered,5,5,,0.771661639213562,0.5,0.771661639213562,0.5185192823410034,0.5635961294174194,0.5956772565841675,0.6331802010536194,0.671188235282898,0.6970511674880981,0.7190713286399841,0.7456110715866089,0.7705668210983276,0.771661639213562,0.7700253129005432,0.7665111422538757,0.7614524364471436,0.7539936304092407,0.7432956099510193,0.7286087274551392,0.7086176872253418,0.6790468692779541,0.6245712637901306
ISIC2018,BT-UNet,outbn0,10,ensemble,filtered,5,5,,0.823511004447937,0.4,0.8247552514076233,0.7792469263076782,0.7982717156410217,0.8077779412269592,0.8146970272064209,0.819862425327301,0.8226583003997803,0.8242367506027222,0.8247552514076233,0.8245049118995667,0.823511004447937,0.8216369152069092,0.81938636302948,0.8165822625160217,0.8131552338600159,0.8089191913604736,0.8031049966812134,0.7948835492134094,0.7826896905899048,0.7614508271217346
ISIC2018,BT-UNet,outbn0,10,ensemble,unfiltered,5,5,,0.823511004447937,0.4,0.8247552514076233,0.7792469263076782,0.7982717156410217,0.8077779412269592,0.8146970272064209,0.819862425327301,0.8226583003997803,0.8242367506027222,0.8247552514076233,0.8245049118995667,0.823511004447937,0.8216369152069092,0.81938636302948,0.8165822625160217,0.8131552338600159,0.8089191913604736,0.8031049966812134,0.7948835492134094,0.7826896905899048,0.7614508271217346
ISIC2018,Baseline,base,1,ensemble,filtered,3,5,"3,4",0.5840078592300415,0.5,0.5840078592300415,0.41570836305618286,0.41570836305618286,0.41570836305618286,0.41570836305618286,0.41570836305618286,0.41570836305618286,0.41570836305618286,0.4157000184059143,0.4376605451107025,0.5840078592300415,0.17811915278434753,0.006826124154031277,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221
ISIC2018,Baseline,base,1,ensemble,unfiltered,5,5,,0.23174872994422913,0.45,0.5889850854873657,0.41570836305618286,0.41570836305618286,0.41570836305618286,0.41570836305618286,0.41570836305618286,0.41570836305618286,0.41570836305618286,0.4262229800224304,0.5889850854873657,0.23174872994422913,0.0004936782061122358,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221
ISIC2018,Baseline,base,5,ensemble,filtered,2,5,"1,3,4",0.6115434765815735,0.5,0.6115434765815735,0.41570836305618286,0.41570836305618286,0.41570836305618286,0.41570836305618286,0.41570836305618286,0.41570836305618286,0.41570836305618286,0.41569599509239197,0.448064386844635,0.6115434765815735,0.12965574860572815,0.0008607840281911194,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221
ISIC2018,Baseline,base,5,ensemble,unfiltered,5,5,,0.019271163269877434,0.4,0.6020215749740601,0.41570836305618286,0.41570836305618286,0.41570836305618286,0.41570836305618286,0.41570836305618286,0.41703736782073975,0.5103763341903687,0.6020215749740601,0.3504457175731659,0.019271163269877434,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221,0.00011206424096599221
ISIC2018,Baseline,base,10,ensemble,filtered,5,5,,0.8128226399421692,0.65,0.8201671242713928,0.41570836305618286,0.41570836305618286,0.41570836305618286,0.4184878468513489,0.7308903336524963,0.7682561278343201,0.788673460483551,0.8010080456733704,0.8088206648826599,0.8128226399421692,0.8163629174232483,0.8189544677734375,0.8201671242713928,0.8198939561843872,0.8168632984161377,0.8107765913009644,0.7981992363929749,0.7403452396392822,0.002539090346544981
ISIC2018,Baseline,base,10,ensemble,unfiltered,5,5,,0.8128226399421692,0.65,0.8201671242713928,0.41570836305618286,0.41570836305618286,0.41570836305618286,0.4184878468513489,0.7308903336524963,0.7682561278343201,0.788673460483551,0.8010080456733704,0.8088206648826599,0.8128226399421692,0.8163629174232483,0.8189544677734375,0.8201671242713928,0.8198939561843872,0.8168632984161377,0.8107765913009644,0.7981992363929749,0.7403452396392822,0.002539090346544981
