Dataset,Model,Variant,Label Fraction (%),Folds run,Fold mean Test Dice,Fold std Test Dice,Fold median Test Dice,Collapsed folds,bimodal,Ensemble Test Dice (filtered),Folds combined (filtered),Ensemble Test Dice (unfiltered),Folds combined (unfiltered)
ISIC2018,SimSiam,e50,5,5,0.629086685180664,0.08973133062073031,0.6007146239280701,0,False,0.6295338273048401,5.0,0.6295338273048401,5
ISIC2018,SimSiam,frozen,1,5,0.5620113849639893,0.013949759899872322,0.5623061060905457,0,False,0.5764694213867188,5.0,0.5764694213867188,5
ISIC2018,SimSiam,frozen,5,5,0.5893665432929993,0.016507326197353317,0.5945989489555359,0,False,0.6141772866249084,5.0,0.6141772866249084,5
ISIC2018,SimSiam,frozen,10,5,0.6437421798706054,0.07165684872446233,0.5998178124427795,0,False,0.6585289835929871,5.0,0.6585289835929871,5
ISIC2018,SimSiam,nostopgrad,5,5,0.6257294416427612,0.09461194229647363,0.5964796543121338,0,False,0.628404438495636,5.0,0.628404438495636,5
ISIC2018,SimSiam,pred128,5,5,0.5672389388084411,0.024226110528327426,0.5768803358078003,0,False,0.5883297920227051,5.0,0.5883297920227051,5
ISIC2018,SimSiam,pred32,5,5,0.5832562327384949,0.02233114689796754,0.5862603783607483,0,False,0.6003682017326355,5.0,0.6003682017326355,5
ISIC2018,SimSiam,proj2048,5,5,0.64344801902771,0.09157799796507232,0.5944405198097229,0,False,0.6399121880531311,5.0,0.6399121880531311,5
ISIC2018,SimSiam,proj256,5,5,0.5922822713851928,0.03389258538755027,0.5778078436851501,0,False,0.5937962532043457,5.0,0.5937962532043457,5
ISIC2018,SimSiam,proj512,5,5,0.6378654718399048,0.09931347672033271,0.6079984903335571,0,False,0.6361345052719116,5.0,0.6361345052719116,5
ISIC2018,SimSiam,sslbudget20,20,5,0.8333992719650268,0.006793667343336275,0.8346830606460571,0,False,0.8450464606285095,5.0,0.8450464606285095,5
ISIC2018,SimSiam,sslbudget5,5,5,0.6233624815940857,0.08853105383312666,0.5962406396865845,0,False,0.6102268695831299,5.0,0.6102268695831299,5
KDSB,BT-UNet,aug025,5,5,0.5215623021125794,0.05319087812662144,0.5252285599708557,0,False,0.5136061310768127,5.0,0.5136061310768127,5
KDSB,BT-UNet,aug100,5,5,0.5986722826957702,0.02539740285782854,0.5909633040428162,0,False,0.6030198931694031,5.0,0.6030198931694031,5
KDSB,BT-UNet,base,1,5,0.5126806139945984,0.040015223140797244,0.5192780494689941,0,False,0.5259867310523987,5.0,0.5259867310523987,5
KDSB,BT-UNet,base,5,5,0.5336760342121124,0.08058557820485608,0.5323232412338257,0,False,0.5428548455238342,5.0,0.5428548455238342,5
KDSB,BT-UNet,base,10,5,0.5613223910331726,0.05372631259635687,0.5625706315040588,0,False,0.5703991055488586,5.0,0.5703991055488586,5
KDSB,BT-UNet,base,20,5,0.5823902606964111,0.04783258422735427,0.5941751003265381,0,False,0.5876474976539612,5.0,0.5876474976539612,5
KDSB,BT-UNet,base,50,5,0.7362051129341125,0.15035583851247145,0.831824779510498,0,False,0.7779876589775085,5.0,0.7779876589775085,5
KDSB,BT-UNet,bs32,5,5,0.5705000638961792,0.03597133153893073,0.5752978920936584,0,False,0.6135765314102173,5.0,0.6135765314102173,5
KDSB,BT-UNet,bs64,5,5,0.6064355850219727,0.09330218239967959,0.5998343229293823,0,False,0.6421015858650208,5.0,0.6421015858650208,5
KDSB,BT-UNet,cropflip,5,5,0.5146121561527253,0.11415393458026434,0.548278272151947,0,False,0.6046954989433289,5.0,0.6046954989433289,5
KDSB,BT-UNet,e0,5,5,0.482865509390831,0.22613916514006221,0.5400334000587463,0,False,0.6470061540603638,5.0,0.6470061540603638,5
KDSB,BT-UNet,e200,5,5,0.5316142201423645,0.042584903404193256,0.5496098399162292,0,False,0.5386989116668701,5.0,0.5386989116668701,5
KDSB,BT-UNet,e25,5,5,0.503430700302124,0.018010970045298412,0.4964582324028015,0,False,0.5054038166999817,5.0,0.5054038166999817,5
KDSB,BT-UNet,e50,5,5,0.48308796286582945,0.0318213529892361,0.4890526533126831,0,False,0.4821672141551971,5.0,0.4821672141551971,5
