Dataset,Model,Fraction,Variant,n,collapsed,mean,median,std,d_mean,d_median,SE,d/SE,verdict
KDSB,BT-UNet,10,attn,5,0,0.5748554468154907,0.5682300329208374,0.03110651843728306,0.013533055782318115,0.0056594014167785645,0.027763761108648397,0.48743596839631986,noise
KDSB,BT-UNet,10,d3,5,0,0.5649360060691834,0.5615865588188171,0.05707691295884299,0.0036136150360107644,-0.0009840726852416992,0.035055072837216567,0.1030839403127508,noise
KDSB,BT-UNet,10,base,5,0,0.5613223910331726,0.5625706315040588,0.05372631259635687,0.0,0.0,,,reference
KDSB,BT-UNet,10,actsilu,5,0,0.5597538232803345,0.5628960132598877,0.04850986581281367,-0.0015685677528380904,0.0003253817558288574,0.03237197475094358,0.048454496980984134,noise
KDSB,BT-UNet,10,d5,5,0,0.5561845004558563,0.5256662964820862,0.08603991723127508,-0.005137890577316284,-0.036904335021972656,0.04536382704835676,0.11325963684323669,noise
KDSB,BT-UNet,10,w8,5,0,0.5561063408851623,0.5481460094451904,0.048225728108666474,-0.005216050148010298,-0.014424622058868408,0.03228695562239487,0.16155286391858956,noise
KDSB,BT-UNet,10,outhard,5,0,0.5546583533287048,0.5580983757972717,0.02041004792838356,-0.0066640377044677734,-0.004472255706787109,0.02570247739670388,0.2592760846206358,noise
KDSB,BT-UNet,10,actelu,5,0,0.5521778345108033,0.5577039122581482,0.1113172193130348,-0.00914455652236934,-0.0048667192459106445,0.055277554180313986,0.16542983237898023,noise
KDSB,BT-UNet,10,actmish,5,0,0.5443101584911346,0.5726960301399231,0.04925671496848432,-0.017012232542037986,0.010125398635864258,0.03259675025117677,0.5218996498408252,noise
KDSB,BT-UNet,10,actleakyrelu,5,0,0.5194348573684693,0.5297839045524597,0.056076905622027946,-0.041887533664703325,-0.03278672695159912,0.03473078176299314,1.2060636570333683,noise
KDSB,BT-UNet,10,noskip,5,0,0.4987190306186676,0.4989159405231476,0.016800981292858334,-0.06260336041450498,-0.06365469098091125,0.025174549201939768,2.4867718548732234,weak
KDSB,BT-UNet,10,actgelu,5,0,0.4912819445133209,0.4830005466938019,0.05047944435470659,-0.0700404465198517,-0.07957008481025696,0.03296874570729488,2.1244498393020175,weak
KDSB,BT-UNet,10,w32,5,0,0.4826115608215332,0.4558170735836029,0.05652377271539122,-0.07871083021163938,-0.10675355792045593,0.034875359631644405,2.256918094694586,weak
KDSB,BT-UNet,20,outbn0,5,0,0.8295250296592712,0.8325608968734741,0.01043554473107892,0.24713476896286013,0.23838579654693604,0.02189455049870305,11.28750137973828,clear
KDSB,BT-UNet,20,base,5,0,0.5823902606964111,0.5941751003265381,0.04783258422735427,0.0,0.0,,,reference
KDSB,BT-UNet,20,sslbudget20,5,0,0.5332743227481842,0.553216278553009,0.04776927303610211,-0.049115937948226884,-0.04095882177352905,0.03023196837873648,1.6246357939026015,noise
KDSB,BT-UNet,50,outbn0,5,0,0.853924822807312,0.8580588698387146,0.010024354180534753,0.11771970987319946,0.026234090328216553,0.06739045310950981,1.7468306628225867,noise
KDSB,BT-UNet,50,base,5,0,0.7362051129341125,0.831824779510498,0.15035583851247145,0.0,0.0,,,reference
KDSB,SimSiam-UNET,1,frozen,5,0,0.5638464689254761,0.5611001253128052,0.04651100427537601,0.05438342392444606,-0.026387035846710205,0.09150845876932377,0.5942994194835781,noise
KDSB,SimSiam-UNET,1,outbn0,5,0,0.5612448692321778,0.6124082207679749,0.15151468719803485,0.051781824231147744,0.024921059608459473,0.11194857484550613,0.46255009769091654,noise
KDSB,SimSiam-UNET,1,base,5,0,0.50946304500103,0.5874871611595154,0.1992629333643894,0.0,0.0,,,reference
KDSB,SimSiam-UNET,5,outbn0,5,0,0.7049181580543518,0.7495928406715393,0.09734773516408006,0.1400505542755126,0.1783481240272522,0.05229999679674927,2.677831029699365,weak
KDSB,SimSiam-UNET,5,e200,5,0,0.6633304715156555,0.6600813269615173,0.02278087901726201,0.09846286773681634,0.08883661031723022,0.030720791760380076,3.2050888696105067,clear
KDSB,SimSiam-UNET,5,proj2048,5,0,0.6610777616500855,0.6735742688179016,0.02435044156384281,0.09621015787124632,0.1023295521736145,0.03096065499138601,3.1074974963551085,clear
KDSB,SimSiam-UNET,5,e25,5,0,0.6607921957969666,0.6432186961174011,0.04390372171503439,0.09592459201812742,0.07197397947311401,0.03500686665085933,2.7401650360436562,weak
KDSB,SimSiam-UNET,5,actleakyrelu,5,0,0.6452023148536682,0.625291645526886,0.06767680107961478,0.08033471107482903,0.05404692888259888,0.04190469230884246,1.9170815163789503,noise
KDSB,SimSiam-UNET,5,pred128,5,0,0.6443910837173462,0.6534604430198669,0.022355881912521344,0.07952347993850706,0.08221572637557983,0.030658285141901373,2.593865885532538,weak
KDSB,SimSiam-UNET,5,cropflip,5,0,0.6377715468406677,0.6634098887443542,0.05167419505930416,0.07290394306182857,0.09216517210006714,0.03706774667592047,1.9667756904464766,noise
KDSB,SimSiam-UNET,5,proj256,5,0,0.6371978640556335,0.6252977252006531,0.021068026618314608,0.07233026027679434,0.05405300855636597,0.030475329460775535,2.3734037188962906,weak
KDSB,SimSiam-UNET,5,frozen,5,0,0.634951376914978,0.653123676776886,0.028805758732556166,0.0700837731361389,0.08187896013259888,0.031716363345384635,2.2097039428178165,weak
KDSB,SimSiam-UNET,5,outsoftmax,5,0,0.6318533897399903,0.6516790390014648,0.04547110211290324,0.06698578596115112,0.08043432235717773,0.035404767787647264,1.891999020101538,noise
KDSB,SimSiam-UNET,5,outtanh,5,0,0.6304440021514892,0.6429826021194458,0.037408416962278035,0.06557639837265006,0.07173788547515869,0.03346417918535491,1.9595997860706105,noise
KDSB,SimSiam-UNET,5,pred32,5,0,0.6207168221473693,0.6295382380485535,0.034110170467086205,0.055849218368530185,0.05829352140426636,0.032751703810390484,1.7052309306367142,noise
KDSB,SimSiam-UNET,5,bs64,5,0,0.6179663300514221,0.6256808042526245,0.051241817790094124,0.05309872627258294,0.0544360876083374,0.03694750512161074,1.4371396958417442,noise
KDSB,SimSiam-UNET,5,aug025,5,0,0.6174571871757507,0.6175562143325806,0.027267667465935997,0.052589583396911554,0.04631149768829346,0.03144325833038592,1.6725233385272413,noise
KDSB,SimSiam-UNET,5,w32,5,0,0.6169031500816345,0.597514808177948,0.07601740895655544,0.05203554630279539,0.02627009153366089,0.044673287874505606,1.1648022516043937,noise
KDSB,SimSiam-UNET,5,actmish,5,0,0.6167178869247436,0.6444483995437622,0.06137257695201358,0.05185028314590445,0.0732036828994751,0.039916061892062656,1.29898293288835,noise
KDSB,SimSiam-UNET,5,d3,5,0,0.6124552845954895,0.6087374091148376,0.07409232051691554,0.047587680816650324,0.03749269247055054,0.044021673622672265,1.0810057160603153,noise
KDSB,SimSiam-UNET,5,outhard,5,0,0.6112939715385437,0.6125308871269226,0.04514801291626793,0.046426367759704545,0.0412861704826355,0.03532197574715081,1.3143762991074883,noise
KDSB,SimSiam-UNET,5,bs32,5,0,0.6092008829116822,0.6377599835395813,0.0777006568001981,0.04433327913284302,0.06651526689529419,0.045248776448222824,0.9797674680457407,noise
KDSB,SimSiam-UNET,5,proj512,5,0,0.6089229702949523,0.6384223699569702,0.11906105075251164,0.04405536651611319,0.0671776533126831,0.06062243906247291,0.7267171561789696,noise
KDSB,SimSiam-UNET,5,aug100,5,0,0.6060598850250244,0.6180499792098999,0.03786946918750127,0.041192281246185236,0.04680526256561279,0.03356773295790814,1.2271392082938044,noise
KDSB,SimSiam-UNET,5,actgelu,5,0,0.6005149960517884,0.6044976115226746,0.0345646675375065,0.03564739227294922,0.03325289487838745,0.032846865984755405,1.0852600759382514,noise
KDSB,SimSiam-UNET,5,actsilu,5,0,0.5978533029556274,0.6011411547660828,0.040563564057012697,0.032985699176788286,0.029896438121795654,0.03419143024832809,0.964735869111566,noise
