Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Prob Max,Prob Mean,Prob p99.9,Frac Pixels > 0.5,Test Dice @0.5,Best Threshold,Test Dice @best,Dice Range 0.3-0.7,Diagnosis,Dice @0.05,Dice @0.10,Dice @0.15,Dice @0.20,Dice @0.25,Dice @0.30,Dice @0.35,Dice @0.40,Dice @0.45,Dice @0.50,Dice @0.55,Dice @0.60,Dice @0.65,Dice @0.70,Dice @0.75,Dice @0.80,Dice @0.85,Dice @0.90,Dice @0.95
ISIC2018,SimSiam,base,10,3,fold,0.9990234375,0.2716010808944702,0.9951171875,0.26556031799316404,0.8312696814537048,0.85,0.8323884606361389,0.002146124839782715,healthy,0.8226607441902161,0.8261098861694336,0.8277221918106079,0.8286988139152527,0.8294357657432556,0.8299680352210999,0.8303632736206055,0.8307182788848877,0.83101487159729,0.8312696814537048,0.831526517868042,0.8317663669586182,0.8319506645202637,0.8321141600608826,0.8322142362594604,0.8323320746421814,0.8323884606361389,0.8322094678878784,0.8312487602233887
ISIC2018,SimSiam,base,10,4,fold,1.0,0.5070793032646179,1.0,0.4895329132080078,0.6015001535415649,0.9,0.6136176586151123,0.019442379474639893,healthy,0.5258803367614746,0.554995059967041,0.5689893364906311,0.5779823064804077,0.5844703316688538,0.5893481373786926,0.5931305885314941,0.5963084101676941,0.5991019010543823,0.6015001535415649,0.6036789417266846,0.6056063771247864,0.6073207259178162,0.6087905168533325,0.610325813293457,0.6117620468139648,0.6130656599998474,0.6136176586151123,0.6130490899085999
ISIC2018,SimSiam,outbn0,10,0,fold,1.0,0.2787398099899292,1.0,0.27452133178710936,0.8063861131668091,0.7,0.8086016774177551,0.008587837219238281,healthy,0.7659777998924255,0.7814871668815613,0.7888556122779846,0.7937859296798706,0.7973319292068481,0.8000138401985168,0.8020837306976318,0.8037848472595215,0.8052069544792175,0.8063861131668091,0.80731201171875,0.8079750537872314,0.8084214329719543,0.8086016774177551,0.8083756566047668,0.8074778914451599,0.8056628704071045,0.801797091960907,0.7909179925918579
ISIC2018,SimSiam,outbn0,10,1,fold,1.0,0.25982359051704407,1.0,0.2585377502441406,0.8268346190452576,0.55,0.8269909620285034,0.002061307430267334,healthy,0.8086389303207397,0.8163725733757019,0.8199474215507507,0.8222455978393555,0.8237804174423218,0.8249296545982361,0.8257619738578796,0.8262718319892883,0.826661229133606,0.8268346190452576,0.8269909620285034,0.826906144618988,0.8265696167945862,0.8259963393211365,0.8252658247947693,0.8242663741111755,0.8225483298301697,0.8192006349563599,0.8110274076461792
ISIC2018,SimSiam,outbn0,10,2,fold,1.0,0.26823368668556213,1.0,0.2672567443847656,0.8250911831855774,0.75,0.8279614448547363,0.008322715759277344,healthy,0.7935544848442078,0.8047604560852051,0.8105331063270569,0.8143548369407654,0.8171550631523132,0.8193843364715576,0.8211997747421265,0.8227183818817139,0.8239966630935669,0.8250911831855774,0.8259528875350952,0.8266874551773071,0.8271994590759277,0.827707052230835,0.8279614448547363,0.8277491331100464,0.8268380761146545,0.8242893218994141,0.8167299628257751
ISIC2018,SimSiam,outbn0,10,3,fold,1.0,0.26975923776626587,1.0,0.26671728515625,0.8072867393493652,0.7,0.8092787861824036,0.00702357292175293,healthy,0.7753774523735046,0.7879074811935425,0.7938012480735779,0.7975345253944397,0.8001953363418579,0.8022552132606506,0.8038842678070068,0.8052356243133545,0.806352972984314,0.8072867393493652,0.8081029653549194,0.8087289929389954,0.8091278076171875,0.8092787861824036,0.8091254830360413,0.8084283471107483,0.8069644570350647,0.8038114309310913,0.7958167791366577
ISIC2018,SimSiam,outbn0,10,4,fold,1.0,0.2645041346549988,1.0,0.26313861083984375,0.8328474760055542,0.65,0.833543062210083,0.004667997360229492,healthy,0.8035123944282532,0.8155685067176819,0.8213128447532654,0.8248181343078613,0.8271429538726807,0.8288750648498535,0.8302186131477356,0.8313080072402954,0.832200288772583,0.8328474760055542,0.8332459926605225,0.8335074782371521,0.833543062210083,0.8331854939460754,0.8323736786842346,0.8308692574501038,0.8277947902679443,0.8214321136474609,0.8081473708152771
ISIC2018,SimSiam,base,1,0,fold,0.99951171875,0.5353127717971802,0.9970703125,0.49160873413085937,0.6028525829315186,0.7,0.6424283981323242,0.13098466396331787,threshold-sensitive,0.4156164526939392,0.421590656042099,0.4350118339061737,0.4540916681289673,0.4811495840549469,0.5114437341690063,0.539404034614563,0.563932478427887,0.5853509306907654,0.6028525829315186,0.6180198788642883,0.6302056908607483,0.6386989951133728,0.6424283981323242,0.6397337913513184,0.6282094717025757,0.6049312949180603,0.5592440962791443,0.44480952620506287
ISIC2018,SimSiam,base,1,1,fold,1.0,0.6085060238838196,1.0,0.6053489837646484,0.510582447052002,0.9,0.5186200141906738,0.01343923807144165,healthy,0.4760550260543823,0.486086905002594,0.4917256534099579,0.49604707956314087,0.4995494782924652,0.5023918747901917,0.5048028230667114,0.5068917870521545,0.5087973475456238,0.510582447052002,0.5120936632156372,0.5135381817817688,0.5148174166679382,0.5158311128616333,0.5165886878967285,0.5174311399459839,0.5181969404220581,0.5186200141906738,0.5182958245277405
ISIC2018,SimSiam,base,1,2,fold,1.0,0.5679725408554077,1.0,0.5682222900390625,0.51618891954422,0.9,0.5232005715370178,0.008133947849273682,healthy,0.4964018762111664,0.5027255415916443,0.506406307220459,0.5085833668708801,0.5100628137588501,0.5114904046058655,0.5126947164535522,0.5138830542564392,0.5151388049125671,0.51618891954422,0.5171493887901306,0.5179780125617981,0.5188413262367249,0.5196243524551392,0.5203724503517151,0.5213137269020081,0.5223394632339478,0.5232005715370178,0.5229694247245789
