Dataset,Model,Label Fraction (%),Kind,Fold,Val Source,File,Train Accuracy,Train Precision,Train Recall,Train MeanIoU,Train Dice,Train HD,Train MyIoU,Train MAE,Val Accuracy,Val Precision,Val Recall,Val MeanIoU,Val Dice,Val HD,Val MyIoU,Val MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test HD,Test MyIoU,Test MAE
ISIC2018,SimSiam,50,ensemble,,val folder,model_ISIC2018_SimSiam-UNET_50pct_ensemble.keras,0.98968124,0.98200196,0.97454685,0.97200334,0.9677331,3.4657986114955643,0.9306476484194296,0.010318718,0.9321193,0.8805187,0.8797375,0.84775364,0.88148004,5.157251679542394,0.6349500000000001,0.067880705,0.9183555,0.87340224,0.84677017,0.8226336,0.863022,5.433421011574132,0.5826518986568987,0.08164444
ISIC2018,SimSiam,50,fold,0.0,val folder,model_ISIC2018_SimSiam-UNET_50pct_fold0.keras,0.98899543,0.97777003,0.9757799,0.97014236,0.96537924,3.6007939821463464,0.9178881388621023,0.01100453,0.9248372,0.8679001,0.8665485,0.8329797,0.86784995,5.354711362060515,0.5548476190476189,0.07516281,0.90956146,0.8543946,0.8369385,0.80613273,0.847382,5.750260817147801,0.5215133551171051,0.09043846
ISIC2018,SimSiam,50,fold,1.0,val folder,model_ISIC2018_SimSiam-UNET_50pct_fold1.keras,0.9833112,0.97387636,0.9558999,0.95518184,0.95320064,3.8450011487137083,0.8658469945355193,0.016688803,0.92704666,0.87139624,0.8709996,0.8374709,0.8684257,5.300612028343749,0.5525779411764706,0.072953336,0.9135239,0.86836857,0.8341449,0.81285167,0.85633606,5.6325283109075865,0.5392655561835825,0.08647609
ISIC2018,SimSiam,50,fold,2.0,val folder,model_ISIC2018_SimSiam-UNET_50pct_fold2.keras,0.9898598,0.9793565,0.97873,0.9728297,0.9693352,3.543600301431916,0.9313102119460501,0.0101401415,0.924361,0.8554582,0.8819994,0.8333878,0.8668916,5.465959364092237,0.5530166666666666,0.07563904,0.9164003,0.8577781,0.86001694,0.8202798,0.85740894,5.72312331068636,0.5199423099939277,0.08359969
ISIC2018,SimSiam,50,fold,3.0,val folder,model_ISIC2018_SimSiam-UNET_50pct_fold3.keras,0.98899156,0.9786718,0.9737117,0.96963143,0.96441334,3.5751348790813853,0.9152697495183046,0.011008496,0.92658156,0.8637802,0.8795134,0.8373023,0.8749082,5.5436562937661575,0.5417444444444444,0.07341842,0.9101767,0.85185665,0.8429885,0.8077692,0.8503471,5.864513113834693,0.5101596915584415,0.089823276
ISIC2018,SimSiam,50,fold,4.0,val folder,model_ISIC2018_SimSiam-UNET_50pct_fold4.keras,0.99238133,0.9861475,0.9821807,0.9794166,0.9751868,3.38287037713619,0.9563102119460501,0.0076186485,0.925697,0.8647152,0.87450635,0.83524454,0.8686635,5.488010276276111,0.5643891414141414,0.07430298,0.912869,0.8613615,0.84081984,0.8123057,0.8507279,5.74478552446249,0.5178613555562084,0.08713101
ISIC2018,SimSiam,5,ensemble,,val folder,model_ISIC2018_SimSiam-UNET_5pct_ensemble.keras,0.7390722,0.4720543,0.8977063,0.55847216,0.63421494,8.527124704759,0.18214315874990167,0.26092777,0.67128706,0.45792934,0.8732222,0.49632013,0.6162057,10.219876228299727,0.1389327553509442,0.3287129,0.68723625,0.48348284,0.83681554,0.5130773,0.6232952,9.746012263001466,0.14294234748761442,0.31276372
ISIC2018,SimSiam,5,fold,0.0,val folder,model_ISIC2018_SimSiam-UNET_5pct_fold0.keras,0.79053134,0.5329805,0.8105261,0.60787,0.63315266,8.203817190709785,0.10666458047276664,0.20946866,0.6866672,0.4696936,0.82258373,0.5089834,0.6154129,10.446685597759744,0.06476591149402842,0.31333283,0.69883376,0.49434006,0.78498375,0.5215611,0.6158573,9.961760205135963,0.09140050062939138,0.30116627
ISIC2018,SimSiam,5,fold,1.0,val folder,model_ISIC2018_SimSiam-UNET_5pct_fold1.keras,0.67978436,0.37661052,0.882519,0.48428717,0.56151503,9.423375011703206,0.0812496182018741,0.3202156,0.6350226,0.42806748,0.85834336,0.4587987,0.5829974,10.657642517160673,0.058855623747070866,0.36497742,0.66286355,0.4608728,0.8219181,0.48678786,0.5929049,10.16980208084276,0.07582387829402835,0.33713642
ISIC2018,SimSiam,5,fold,2.0,val folder,model_ISIC2018_SimSiam-UNET_5pct_fold2.keras,0.6884167,0.4461373,0.84347665,0.5067033,0.58728814,9.142963965840904,0.11045178818379353,0.31158328,0.6582884,0.44724727,0.87468255,0.4830261,0.6021083,10.496178687660144,0.08136364365861776,0.34171158,0.6655727,0.46428764,0.84765786,0.4910819,0.5953749,10.267781494638482,0.08166550013392158,0.33442736
ISIC2018,SimSiam,5,fold,3.0,val folder,model_ISIC2018_SimSiam-UNET_5pct_fold3.keras,0.63456106,0.38950896,0.9329659,0.45431054,0.5628254,9.476042127176147,0.03740694686775617,0.36543897,0.54171723,0.37258324,0.90336066,0.37121108,0.53726095,11.546056132600539,0.026565618163019264,0.45828277,0.57500976,0.39929807,0.8654216,0.4023523,0.54692,10.948903364973798,0.043279329983862885,0.42499024
ISIC2018,SimSiam,5,fold,4.0,val folder,model_ISIC2018_SimSiam-UNET_5pct_fold4.keras,0.985922,0.96339303,0.97993016,0.9631052,0.95705944,3.73261988587876,0.8759615384615386,0.014077993,0.9025957,0.8623387,0.78077644,0.7845904,0.81893873,5.690776167530689,0.5018893939393938,0.09740433,0.8869566,0.8556375,0.74331146,0.75778484,0.8043873,6.068756452336933,0.46124380952380956,0.11304347
ISIC2018,Baseline,10,ensemble,,val folder,model_ISIC2018_UNet_10pct_ensemble.keras,0.9782105,0.9427404,0.9660594,0.94215906,0.9336033,4.014583462399694,0.7965894465894465,0.021789491,0.9094914,0.8305381,0.8549152,0.80425316,0.834243,5.601988775004482,0.5162499999999999,0.09050857,0.891906,0.82176125,0.81040627,0.7735344,0.81281936,5.862422947148798,0.49739928571428565,0.10809398
ISIC2018,Baseline,10,fold,0.0,val folder,model_ISIC2018_UNet_10pct_fold0.keras,0.972895,0.9310967,0.95547485,0.92870724,0.9141716,4.382767161438069,0.7117391304347828,0.02710499,0.9084172,0.83342355,0.8457216,0.80150086,0.83043754,5.579490157714445,0.49688333333333334,0.0915828,0.89481574,0.82821244,0.8131229,0.7786362,0.8136487,5.890799121136295,0.4767550427350427,0.10518434
ISIC2018,Baseline,10,fold,1.0,val folder,model_ISIC2018_UNet_10pct_fold1.keras,0.9769468,0.9406903,0.9668476,0.94054425,0.924681,4.111768204221577,0.7811594202898552,0.023053229,0.89951676,0.80962825,0.84363365,0.78597486,0.8174901,5.935578945390656,0.46545000000000003,0.100483246,0.8813469,0.79861206,0.80090517,0.7554157,0.7971725,6.240815879537808,0.4332573809523809,0.118653215
ISIC2018,Baseline,10,fold,2.0,val folder,model_ISIC2018_UNet_10pct_fold2.keras,0.9853463,0.94904816,0.98394376,0.9580208,0.94801307,3.74254577330018,0.8444444444444448,0.0146536715,0.9056299,0.8262301,0.8444487,0.7965256,0.8281345,5.828372381127182,0.4833166666666667,0.09437012,0.88693386,0.81934446,0.7925776,0.7634883,0.80506057,6.1594528739458605,0.4345724458874458,0.113066144
ISIC2018,Baseline,10,fold,3.0,val folder,model_ISIC2018_UNet_10pct_fold3.keras,0.97242075,0.94392145,0.9442451,0.9290699,0.91565543,4.422984770815021,0.7451288244766506,0.027579267,0.9031329,0.8326762,0.8235151,0.7901244,0.8233268,5.691623253766844,0.4690502164502164,0.09686706,0.88283944,0.81960696,0.77443516,0.7548367,0.7945388,6.149666102165553,0.4327370346320346,0.117160566
ISIC2018,Baseline,10,fold,4.0,val folder,model_ISIC2018_UNet_10pct_fold4.keras,0.9729233,0.9236613,0.9654684,0.92950964,0.915109,4.392110799654919,0.666326642107892,0.027076721,0.89786226,0.7914456,0.8682071,0.7855551,0.8190465,5.97304331571019,0.43317759740259737,0.10213776,0.8783003,0.77580804,0.8278814,0.7534398,0.7985585,6.3738272999187355,0.3894423554876496,0.12169975
ISIC2018,Baseline,20,ensemble,,val folder,model_ISIC2018_UNet_20pct_ensemble.keras,0.99401134,0.9875278,0.98728395,0.9836496,0.97969544,3.142341301565926,0.9722007722007723,0.0059886035,0.9245619,0.88701797,0.84077436,0.8302115,0.8633644,5.251132017939317,0.5957690476190477,0.07543808,0.9100765,0.88047653,0.80537754,0.8039763,0.84756166,5.54638548335148,0.5606312301587302,0.08992349
ISIC2018,Baseline,20,fold,0.0,val folder,model_ISIC2018_UNet_20pct_fold0.keras,0.9925068,0.9866385,0.9823552,0.9798132,0.97597235,3.3431627247040674,0.9601449275362319,0.007493208,0.9170633,0.8804445,0.8183314,0.81426436,0.8517751,5.45182975100315,0.5730833333333333,0.082936704,0.9038976,0.8745716,0.7882048,0.7914132,0.83429325,5.816638080109544,0.5143613217338218,0.096102476
ISIC2018,Baseline,20,fold,1.0,val folder,model_ISIC2018_UNet_20pct_fold1.keras,0.9939693,0.98529696,0.989265,0.9835004,0.97962916,3.222804400555989,0.9698067632850241,0.006030686,0.9186733,0.8736064,0.83348227,0.81866395,0.85325927,5.510489861336238,0.5332178571428571,0.08132675,0.90502644,0.867096,0.80188787,0.79480183,0.83911306,5.797483423012602,0.5155008549783551,0.09497363
ISIC2018,Baseline,20,fold,2.0,val folder,model_ISIC2018_UNet_20pct_fold2.keras,0.9904162,0.98061115,0.97818315,0.97360635,0.96775293,3.471287210945612,0.9294685990338166,0.009583809,0.9223927,0.862065,0.8643205,0.8282715,0.86028534,5.513691078061682,0.55875,0.07760727,0.90168184,0.85151565,0.8086904,0.78975356,0.82931155,5.897990618810356,0.5050000144300144,0.098318145
ISIC2018,Baseline,20,fold,3.0,val folder,model_ISIC2018_UNet_20pct_fold3.keras,0.99363667,0.98488367,0.9883812,0.9826479,0.97988987,3.163147810832067,0.9759036144578315,0.0063633197,0.9164243,0.8695167,0.8294206,0.8141856,0.8485889,5.756158927764858,0.5152833333333333,0.08357575,0.90406317,0.8651414,0.80050606,0.7929951,0.83770657,5.916065283184556,0.4696395346320346,0.09593683
ISIC2018,Baseline,20,fold,4.0,val folder,model_ISIC2018_UNet_20pct_fold4.keras,0.9943863,0.98744833,0.9891708,0.98476386,0.9816627,3.2079421846582754,0.9787951807228916,0.0056136902,0.91937685,0.8698181,0.8412899,0.82068,0.8551117,5.755164899871013,0.49468333333333336,0.08062317,0.90365887,0.8566996,0.80981404,0.793255,0.8353248,5.98294057893787,0.4757130158730159,0.09634117
ISIC2018,Baseline,50,ensemble,,val folder,model_ISIC2018_UNet_50pct_ensemble.keras,0.9905124,0.98174,0.97837144,0.97425747,0.9696528,3.451671610598446,0.9356977640709331,0.009487602,0.93143463,0.8761339,0.882746,0.84668773,0.87854177,5.0710601135366815,0.6010714285714287,0.06856537,0.9177253,0.8691809,0.84980536,0.8217659,0.8603429,5.4445170449492615,0.5774063888888888,0.08227466
ISIC2018,Baseline,50,fold,0.0,val folder,model_ISIC2018_UNet_50pct_fold0.keras,0.99039096,0.9794122,0.9800813,0.97388935,0.9694747,3.5236285433620544,0.9333976213436195,0.009609123,0.924594,0.85657156,0.88137776,0.83376706,0.8645033,5.497767855839842,0.569025,0.07540604,0.91324335,0.85724586,0.847961,0.81361437,0.85278136,5.76823246578949,0.5234715561072915,0.08675661
